key,app_date,app_type,app_status,lat,long
86,9/10/13,COMM TENANT IMPROVEMENT,APPROVED,45.675711,-111.066715
87,1/10/14,RES SINGLE FAMILY DWELLING,APPROVED,45.688851,-111.069286
88,9/9/13,RES SINGLE FAMILY DWELLING,APPROVED,45.704581,-111.098428
89,9/9/13,RES ALTERATION,APPROVED,45.653762,-111.039698
90,9/4/13,RES ALTERATION,APPROVED,45.657188,-111.019112
91,9/3/13,RES ALTERATION,APPROVED,45.673116,-111.031494
92,9/3/13,RES ALTERATION,APPROVED,45.671044,-111.03763
93,8/30/13,COMM ALTERATION,APPROVED,45.676894,-111.039034
94,8/28/13,RES ATTACHED SFD,APPROVED,45.701989,-111.073978
95,8/28/13,RESIDENTIAL REROOF,APPROVED,45.668523,-111.041428
96,1/9/14,RES SINGLE FAMILY DWELLING,APPROVED,45.696588,-111.075333
97,8/27/13,FIRE ALARM SYSTEMS PERMIT,APPROVED,45.694969,-111.073288
98,7/25/03,RES ADDITION,APPROVED,45.676446,-111.03409
99,8/26/13,RES SINGLE FAMILY DWELLING,APPROVED,45.705071,-111.026348
100,8/26/13,COMMERCIAL REROOF,APPROVED,45.686342,-111.046951
101,8/23/13,RES SINGLE FAMILY DWELLING,APPROVED,45.686438,-111.029049
102,7/28/03,RES ALTERATION,APPROVED,45.661327,-111.022168
103,7/28/03,RES ALTERATION,APPROVED,45.670954,-111.03695
104,8/23/13,RES SINGLE FAMILY DWELLING,APPROVED,45.681176,-111.102265
105,4/11/14,ELECTRIC ONLY,APPROVED,45.676625,-111.035913
106,8/23/13,RES SINGLE FAMILY DWELLING,APPROVED,45.647367,-111.050601
107,8/22/13,FIRE ALARM SYSTEMS PERMIT,APPROVED,45.700647,-111.060168
108,8/22/13,COMM TENANT IMPROVEMENT,APPROVED,45.698949,-111.030417
109,8/22/13,RES SINGLE FAMILY DWELLING,APPROVED,45.682711,-111.096708
110,3/27/03,RES ALTERATION,APPROVED,45.685448,-111.028085
111,7/29/03,COMM ALTERATION,APPROVED,45.674724,-111.062207
112,8/21/13,RES SINGLE FAMILY DWELLING,APPROVED,45.710806,-111.079527
113,3/19/14,MECHANICAL ONLY,APPROVED,45.675277,-111.030687
114,8/21/13,RES SINGLE FAMILY DWELLING,APPROVED,45.704676,-111.092172
115,8/21/13,RES SINGLE FAMILY DWELLING,APPROVED,45.704312,-111.097747
116,8/20/13,RES ALTERATION,APPROVED,45.68316,-111.097993
117,8/20/13,RES SINGLE FAMILY DWELLING,APPROVED,45.664208,-111.022811
118,8/20/13,RES SINGLE FAMILY DWELLING,APPROVED,45.645372,-111.07692
119,8/19/13,RES SINGLE FAMILY DWELLING,APPROVED,45.697662,-111.083696
120,8/19/13,RES SINGLE FAMILY DWELLING,APPROVED,45.697662,-111.08394
121,8/19/13,SIGN PERMIT,APPROVED,45.678779,-111.052235
122,8/19/13,PLUMBING ONLY,APPROVED,45.674101,-111.04834
123,1/9/14,RES ALTERATION,APPROVED,45.681576,-111.035557
124,8/16/13,"COMM HOTEL, MOTELS",APPROVED,45.716574,-111.06792
125,8/1/03,RES ALTERATION,APPROVED,45.675541,-111.047353
126,8/14/13,RES SINGLE FAMILY DWELLING,APPROVED,45.69892,-111.087282
127,3/3/14,COMM TENANT IMPROVEMENT,APPROVED,45.677794,-111.040485
128,2/28/14,COMM TENANT IMPROVEMENT,APPROVED,45.679057,-111.03056
129,8/14/13,RES SINGLE FAMILY DWELLING,APPROVED,45.685539,-111.026185
130,8/14/13,RES SINGLE FAMILY DWELLING,APPROVED,45.665869,-111.107873
131,8/13/13,RESIDENTIAL REROOF,APPROVED,45.682204,-111.041965
132,8/13/13,RES 5+ UNITS,APPROVED,45.675324,-111.103629
133,2/28/14,RES SINGLE FAMILY DWELLING,APPROVED,45.664117,-111.025019
134,8/13/13,RES SINGLE FAMILY DWELLING,APPROVED,45.66605,-111.106911
135,8/12/13,COMM ALTERATION,APPROVED,45.672172,-111.105651
136,1/8/14,SIGN PERMIT,APPROVED,45.700295,-111.041979
137,2/27/14,RES ATTACHED SFD,APPROVED,45.69102,-111.053428
138,4/11/14,MECHANICAL ONLY,APPROVED,45.693445,-111.063101
139,4/4/14,RES ALTERATION,APPROVED,45.658983,-111.039368
140,1/8/14,SIGN PERMIT,APPROVED,45.678066,-111.033012
141,8/12/13,RES SINGLE FAMILY DWELLING,APPROVED,45.667398,-111.108672
142,4/9/14,COMM TENANT IMPROVEMENT,APPROVED,45.696696,-111.038534
143,8/9/13,RES ALTERATION,APPROVED,45.665823,-111.039963
144,8/9/13,ELECTRIC ONLY,APPROVED,45.657548,-111.018753
145,8/7/13,PLUMBING ONLY,APPROVED,45.682831,-111.04985
146,8/7/13,PLUMBING ONLY,APPROVED,45.676334,-111.079004
147,8/6/13,RES 5+ UNITS,APPROVED,45.67231,-111.007536
148,4/11/14,SEWER ONLY PERMIT,APPROVED,45.655833,-111.037581
149,1/8/14,RES GARAGES & CARPORTS,APPROVED,45.677792,-111.046353
150,1/8/14,COMMERCIAL REROOF,APPROVED,45.670582,-111.065258
151,2/27/14,RES ATTACHED SFD,APPROVED,45.69102,-111.053299
152,8/6/13,RES 5+ UNITS,APPROVED,45.67204,-111.006766
153,1/7/14,PLUMBING ONLY,APPROVED,45.684082,-111.067611
154,8/6/13,RES 5+ UNITS,APPROVED,45.67195,-111.006522
155,8/6/13,RES 5+ UNITS,APPROVED,45.67168,-111.006509
156,8/6/13,RES 5+ UNITS,APPROVED,45.67168,-111.007562
157,8/6/13,RES 5+ UNITS,APPROVED,45.6715,-111.006561
158,8/6/13,RES 5+ UNITS,APPROVED,45.67132,-111.006689
159,8/5/13,COMM INDUSTRIAL,APPROVED,45.702459,-111.033168
160,3/19/14,RES ALTERATION,APPROVED,45.672754,-111.039159
161,8/7/03,RES ALTERATION,APPROVED,45.678151,-111.048498
162,8/5/13,RES SINGLE FAMILY DWELLING,APPROVED,45.701743,-111.012062
163,8/2/13,RES ALTERATION,APPROVED,45.685351,-111.050507
164,2/27/14,RES ATTACHED SFD,APPROVED,45.69057,-111.052991
165,1/7/14,DEMOLITION PERMIT,APPROVED,45.68004,-111.049937
166,1/7/14,ELECTRIC ONLY,APPROVED,45.679685,-111.036724
167,2/27/14,RES ATTACHED SFD,APPROVED,45.69057,-111.052849
168,2/27/14,SIGN PERMIT,APPROVED,45.678879,-111.023061
169,4/11/14,RESIDENTIAL REROOF,APPROVED,45.689834,-111.080654
170,2/7/03,COMM TENANT IMPROVEMENT,APPROVED,45.676699,-111.071377
171,1/7/14,DEMOLITION PERMIT,APPROVED,45.659782,-111.063449
172,1/7/14,RES ALTERATION,APPROVED,45.656014,-111.035284
173,8/2/13,RES SINGLE FAMILY DWELLING,APPROVED,45.665508,-111.109143
174,8/1/13,RES SINGLE FAMILY DWELLING,APPROVED,45.687849,-111.086635
175,8/1/13,RES SINGLE FAMILY DWELLING,APPROVED,45.687218,-111.088034
176,1/6/14,COMM TENANT IMPROVEMENT,APPROVED,45.693805,-111.063911
177,1/3/14,COMM TENANT IMPROVEMENT,APPROVED,45.679595,-111.03752
178,1/3/14,ELECTRIC ONLY,APPROVED,45.673739,-111.051691
179,8/13/03,RES ALTERATION,APPROVED,45.674102,-111.044334
180,2/27/14,RES ALTERATION,APPROVED,45.676079,-111.052707
181,2/27/14,MECHANICAL ONLY,APPROVED,45.67149,-111.049853
182,4/11/14,ELECTRIC ONLY,APPROVED,45.664832,-111.043698
183,4/11/14,ELECTRIC ONLY,APPROVED,45.665913,-111.039206
184,8/1/13,FIRE SUPRESSION SYSTEMS PERMIT,APPROVED,45.678879,-111.023061
185,7/31/13,RES SINGLE FAMILY DWELLING,APPROVED,45.676666,-111.112054
186,7/31/13,RES SINGLE FAMILY DWELLING,APPROVED,45.676486,-111.112426
187,4/11/14,PLUMBING ONLY,APPROVED,45.673827,-111.056159
188,7/30/13,DEMOLITION PERMIT,APPROVED,45.685896,-111.037088
189,1/3/14,RES ALTERATION,APPROVED,45.669873,-111.042007
190,3/18/14,SIGN PERMIT,APPROVED,45.693804,-111.064412
